,lat,lon,day,week,month,year,date_for_plot,analysed_spim,plume
60,49.15999984741211,-0.6000000238418579,2018-02-25,02_04,02,2018,2018-02-25,,False
61,49.15999984741211,-0.5849999785423279,2018-02-25,02_04,02,2018,2018-02-25,,False
62,49.15999984741211,-0.5699999928474426,2018-02-25,02_04,02,2018,2018-02-25,,False
63,49.15999984741211,-0.5550000071525574,2018-02-25,02_04,02,2018,2018-02-25,,False
64,49.15999984741211,-0.5400000214576721,2018-02-25,02_04,02,2018,2018-02-25,,False
65,49.15999984741211,-0.5249999761581421,2018-02-25,02_04,02,2018,2018-02-25,,False
66,49.15999984741211,-0.5099999904632568,2018-02-25,02_04,02,2018,2018-02-25,,False
67,49.15999984741211,-0.4950000047683716,2018-02-25,02_04,02,2018,2018-02-25,,False
68,49.15999984741211,-0.47999998927116394,2018-02-25,02_04,02,2018,2018-02-25,,False
69,49.15999984741211,-0.4650000035762787,2018-02-25,02_04,02,2018,2018-02-25,,False
70,49.15999984741211,-0.44999998807907104,2018-02-25,02_04,02,2018,2018-02-25,,False
71,49.15999984741211,-0.4350000023841858,2018-02-25,02_04,02,2018,2018-02-25,,False
72,49.15999984741211,-0.41999998688697815,2018-02-25,02_04,02,2018,2018-02-25,,False
73,49.15999984741211,-0.4050000011920929,2018-02-25,02_04,02,2018,2018-02-25,,False
74,49.15999984741211,-0.38999998569488525,2018-02-25,02_04,02,2018,2018-02-25,,False
75,49.15999984741211,-0.375,2018-02-25,02_04,02,2018,2018-02-25,,False
76,49.15999984741211,-0.36000001430511475,2018-02-25,02_04,02,2018,2018-02-25,,False
77,49.15999984741211,-0.3449999988079071,2018-02-25,02_04,02,2018,2018-02-25,,False
78,49.15999984741211,-0.33000001311302185,2018-02-25,02_04,02,2018,2018-02-25,,False
79,49.15999984741211,-0.3149999976158142,2018-02-25,02_04,02,2018,2018-02-25,,False
80,49.15999984741211,-0.30000001192092896,2018-02-25,02_04,02,2018,2018-02-25,,False
81,49.15999984741211,-0.2849999964237213,2018-02-25,02_04,02,2018,2018-02-25,,False
82,49.15999984741211,-0.27000001072883606,2018-02-25,02_04,02,2018,2018-02-25,,False
83,49.15999984741211,-0.2549999952316284,2018-02-25,02_04,02,2018,2018-02-25,,False
84,49.15999984741211,-0.23999999463558197,2018-02-25,02_04,02,2018,2018-02-25,,False
85,49.15999984741211,-0.22499999403953552,2018-02-25,02_04,02,2018,2018-02-25,,False
86,49.15999984741211,-0.20999999344348907,2018-02-25,02_04,02,2018,2018-02-25,,False
87,49.15999984741211,-0.19499999284744263,2018-02-25,02_04,02,2018,2018-02-25,,False
88,49.15999984741211,-0.18000000715255737,2018-02-25,02_04,02,2018,2018-02-25,,False
89,49.15999984741211,-0.16500000655651093,2018-02-25,02_04,02,2018,2018-02-25,,False
90,49.15999984741211,-0.15000000596046448,2018-02-25,02_04,02,2018,2018-02-25,,False
91,49.15999984741211,-0.13500000536441803,2018-02-25,02_04,02,2018,2018-02-25,,False
92,49.15999984741211,-0.11999999731779099,2018-02-25,02_04,02,2018,2018-02-25,,False
93,49.15999984741211,-0.10499999672174454,2018-02-25,02_04,02,2018,2018-02-25,,False
94,49.15999984741211,-0.09000000357627869,2018-02-25,02_04,02,2018,2018-02-25,,False
95,49.15999984741211,-0.07500000298023224,2018-02-25,02_04,02,2018,2018-02-25,,False
96,49.15999984741211,-0.05999999865889549,2018-02-25,02_04,02,2018,2018-02-25,,False
97,49.15999984741211,-0.04500000178813934,2018-02-25,02_04,02,2018,2018-02-25,,False
98,49.15999984741211,-0.029999999329447746,2018-02-25,02_04,02,2018,2018-02-25,,False
99,49.15999984741211,-0.014999999664723873,2018-02-25,02_04,02,2018,2018-02-25,,False
100,49.15999984741211,0.0,2018-02-25,02_04,02,2018,2018-02-25,,False
101,49.15999984741211,0.014999999664723873,2018-02-25,02_04,02,2018,2018-02-25,,False
102,49.15999984741211,0.029999999329447746,2018-02-25,02_04,02,2018,2018-02-25,,False
103,49.15999984741211,0.04500000178813934,2018-02-25,02_04,02,2018,2018-02-25,,False
104,49.15999984741211,0.05999999865889549,2018-02-25,02_04,02,2018,2018-02-25,,False
105,49.15999984741211,0.07500000298023224,2018-02-25,02_04,02,2018,2018-02-25,,False
106,49.15999984741211,0.09000000357627869,2018-02-25,02_04,02,2018,2018-02-25,,False
107,49.15999984741211,0.10499999672174454,2018-02-25,02_04,02,2018,2018-02-25,,False
108,49.15999984741211,0.11999999731779099,2018-02-25,02_04,02,2018,2018-02-25,,False
109,49.15999984741211,0.13500000536441803,2018-02-25,02_04,02,2018,2018-02-25,,False
110,49.15999984741211,0.15000000596046448,2018-02-25,02_04,02,2018,2018-02-25,,False
111,49.15999984741211,0.16500000655651093,2018-02-25,02_04,02,2018,2018-02-25,,False
112,49.15999984741211,0.18000000715255737,2018-02-25,02_04,02,2018,2018-02-25,,False
