,lat,lon,date_for_plot,analysed_spim,plume
0,45.0,-3.494999885559082,2025-01-11,0.35999999195337296,False
1,45.0,-3.4800000190734863,2025-01-11,0.3499999921768904,False
2,45.0,-3.4649999141693115,2025-01-11,0.35999999195337296,False
3,45.0,-3.450000047683716,2025-01-11,0.3299999926239252,False
4,45.0,-3.434999942779541,2025-01-11,0.3299999926239252,False
5,45.0,-3.4200000762939453,2025-01-11,0.3399999924004078,False
6,45.0,-3.4049999713897705,2025-01-11,0.3399999924004078,False
7,45.0,-3.390000104904175,2025-01-11,0.3399999924004078,False
8,45.0,-3.375,2025-01-11,0.3499999921768904,False
9,45.0,-3.359999895095825,2025-01-11,0.35999999195337296,False
10,45.0,-3.3450000286102295,2025-01-11,0.36999999172985554,False
11,45.0,-3.3299999237060547,2025-01-11,0.40999999083578587,False
12,45.0,-3.315000057220459,2025-01-11,0.41999999061226845,False
13,45.0,-3.299999952316284,2025-01-11,0.42999999038875103,False
14,45.0,-3.2850000858306885,2025-01-11,0.4399999901652336,False
15,45.0,-3.2699999809265137,2025-01-11,0.40999999083578587,False
16,45.0,-3.255000114440918,2025-01-11,0.40999999083578587,False
17,45.0,-3.240000009536743,2025-01-11,0.3999999910593033,False
18,45.0,-3.2249999046325684,2025-01-11,0.36999999172985554,False
19,45.0,-3.2100000381469727,2025-01-11,0.3299999926239252,False
20,45.0,-3.194999933242798,2025-01-11,0.2799999937415123,False
21,45.0,-3.180000066757202,2025-01-11,0.2799999937415123,False
22,45.0,-3.1649999618530273,2025-01-11,0.2699999939650297,False
23,45.0,-3.1500000953674316,2025-01-11,0.2699999939650297,False
24,45.0,-3.134999990463257,2025-01-11,0.24999999441206455,False
25,45.0,-3.119999885559082,2025-01-11,0.25999999418854713,False
26,45.0,-3.1050000190734863,2025-01-11,0.2799999937415123,False
27,45.0,-3.0899999141693115,2025-01-11,0.29999999329447746,False
28,45.0,-3.075000047683716,2025-01-11,0.30999999307096004,False
29,45.0,-3.059999942779541,2025-01-11,0.3199999928474426,False
30,45.0,-3.0450000762939453,2025-01-11,0.30999999307096004,False
31,45.0,-3.0299999713897705,2025-01-11,0.29999999329447746,False
32,45.0,-3.015000104904175,2025-01-11,0.29999999329447746,False
33,45.0,-3.0,2025-01-11,0.3199999928474426,False
34,45.0,-2.984999895095825,2025-01-11,0.19999999552965164,False
