,lat,lon,analysed_spim
22117,42.265,3.0,
22118,42.265,3.015,
22119,42.265,3.03,
22120,42.265,3.045,
22121,42.265,3.06,
22122,42.265,3.075,
22123,42.265,3.09,
22124,42.265,3.105,
22125,42.265,3.12,
22126,42.265,3.135,
22127,42.265,3.15,
22128,42.265,3.165,
22129,42.265,3.18,
22130,42.265,3.195,
22131,42.265,3.21,
22132,42.265,3.225,
22133,42.265,3.24,
22134,42.265,3.255,
22135,42.265,3.27,
22136,42.265,3.285,
22137,42.265,3.3,0.5999999865889549
22138,42.265,3.315,0.6299999859184027
22139,42.265,3.33,0.669999985024333
22140,42.265,3.345,0.7299999836832285
22141,42.265,3.36,0.8699999805539846
22142,42.265,3.375,1.1199999749660492
22143,42.265,3.39,1.2849999712780118
22144,42.265,3.405,1.2449999721720815
22145,42.265,3.42,1.0849999757483602
22146,42.265,3.435,0.8599999807775021
22147,42.265,3.45,0.6099999863654375
22148,42.265,3.465,0.4899999890476465
22149,42.265,3.48,0.4499999899417162
22150,42.265,3.495,0.4499999899417162
22151,42.265,3.51,0.4449999900534749
22152,42.265,3.525,0.36499999184161425
22153,42.265,3.54,0.29999999329447746
22154,42.265,3.555,0.24499999452382326
22155,42.265,3.57,0.18999999575316906
22156,42.265,3.585,0.17999999597668648
22157,42.265,3.6,0.18499999586492777
22158,42.265,3.615,0.19999999552965164
22159,42.265,3.63,0.20499999541789293
22160,42.265,3.645,0.21499999519437551
22161,42.265,3.66,0.2199999950826168
22162,42.265,3.675,0.23999999463558197
22163,42.265,3.69,0.24499999452382326
22164,42.265,3.705,0.25499999430030584
22165,42.265,3.72,0.25499999430030584
22166,42.265,3.735,0.24999999441206455
22167,42.265,3.75,0.24999999441206455
22168,42.265,3.765,0.24999999441206455
22169,42.265,3.78,0.24999999441206455
22170,42.265,3.795,0.24999999441206455
22171,42.265,3.81,0.23499999474734068
22172,42.265,3.825,0.2249999949708581
22173,42.265,3.84,0.2199999950826168
22174,42.265,3.855,0.2249999949708581
22175,42.265,3.87,0.2299999948590994
22176,42.265,3.885,0.23499999474734068
22177,42.265,3.9,0.23499999474734068
22178,42.265,3.915,0.2249999949708581
22179,42.265,3.93,0.2249999949708581
22180,42.265,3.945,0.2249999949708581
22181,42.265,3.96,0.2199999950826168
22182,42.265,3.975,0.2199999950826168
22183,42.265,3.99,0.2199999950826168
22184,42.265,4.005,0.2199999950826168
22185,42.265,4.02,0.2249999949708581
22186,42.265,4.035,0.23499999474734068
22187,42.265,4.05,0.23999999463558197
22188,42.265,4.065,0.23499999474734068
22189,42.265,4.08,0.23999999463558197
22190,42.265,4.095,0.23999999463558197
22191,42.265,4.11,0.23499999474734068
22192,42.265,4.125,0.23499999474734068
22193,42.265,4.14,0.2249999949708581
22194,42.265,4.155,0.21499999519437551
22195,42.265,4.17,0.2199999950826168
22196,42.265,4.185,0.21499999519437551
22197,42.265,4.2,0.20999999530613422
22198,42.265,4.215,0.19999999552965164
22199,42.265,4.23,0.19999999552965164
22200,42.265,4.245,0.18999999575316906
22201,42.265,4.26,0.18499999586492777
22202,42.265,4.275,0.17999999597668648
22203,42.265,4.29,0.1749999960884452
22204,42.265,4.305,0.1749999960884452
22205,42.265,4.32,0.1599999964237213
22206,42.265,4.335,0.15499999653548002
22207,42.265,4.35,0.14999999664723873
22208,42.265,4.365,0.14999999664723873
