,lat,lon,analysed_spim
0,42.5,3.51,0.3299999926239252
1,42.5,3.525,0.3399999924004078
2,42.5,3.54,0.3399999924004078
3,42.5,3.555,0.3399999924004078
4,42.5,3.57,0.35999999195337296
5,42.5,3.585,0.35999999195337296
6,42.5,3.6,0.3799999915063381
7,42.5,3.615,0.40999999083578587
8,42.5,3.63,0.41999999061226845
9,42.5,3.645,0.3999999910593033
10,42.5,3.66,0.3299999926239252
11,42.5,3.675,0.3299999926239252
12,42.5,3.69,0.3399999924004078
13,42.5,3.705,0.2699999939650297
14,42.5,3.72,0.11999999731779099
15,42.5,3.735,0.14999999664723873
16,42.5,3.75,0.13999999687075615
17,42.5,3.765,0.14999999664723873
18,42.5,3.78,0.13999999687075615
19,42.5,3.795,0.13999999687075615
20,42.5,3.81,0.14999999664723873
21,42.5,3.825,0.14999999664723873
22,42.5,3.84,0.1599999964237213
23,42.5,3.855,0.1699999962002039
24,42.5,3.87,0.19999999552965164
25,42.5,3.885,0.2199999950826168
26,42.5,3.9,0.23999999463558197
27,42.5,3.915,0.25999999418854713
28,42.5,3.93,0.2799999937415123
29,42.5,3.945,0.25999999418854713
30,42.5,3.96,0.25999999418854713
31,42.5,3.975,0.25999999418854713
32,42.5,3.99,0.2699999939650297
33,42.5,4.005,0.2799999937415123
34,42.5,4.02,0.2799999937415123
35,42.5,4.035,0.2799999937415123
36,42.5,4.05,0.2799999937415123
37,42.5,4.065,0.2799999937415123
38,42.5,4.08,0.2799999937415123
39,42.5,4.095,0.2899999935179949
40,42.5,4.11,0.2799999937415123
41,42.5,4.125,0.2899999935179949
42,42.5,4.14,0.2899999935179949
43,42.5,4.155,0.2799999937415123
44,42.5,4.17,0.2799999937415123
45,42.5,4.185,0.2799999937415123
46,42.5,4.2,0.2899999935179949
47,42.5,4.215,0.2799999937415123
48,42.5,4.23,0.2799999937415123
49,42.5,4.245,0.2699999939650297
50,42.5,4.26,0.25999999418854713
51,42.5,4.275,0.25999999418854713
52,42.5,4.29,0.25999999418854713
53,42.5,4.305,0.2699999939650297
54,42.5,4.32,0.25999999418854713
55,42.5,4.335,0.2699999939650297
56,42.5,4.35,0.2699999939650297
57,42.5,4.365,0.2899999935179949
58,42.5,4.38,0.2799999937415123
59,42.5,4.395,0.2799999937415123
60,42.5,4.41,0.2799999937415123
61,42.5,4.425,0.25999999418854713
62,42.5,4.44,0.25999999418854713
63,42.5,4.455,0.24999999441206455
64,42.5,4.47,0.24999999441206455
65,42.5,4.485,0.24999999441206455
66,42.5,4.5,0.24999999441206455
67,42.5,4.515,0.24999999441206455
68,42.5,4.53,0.23999999463558197
