,lat,lon,date_for_plot,analysed_spim,plume
0,42.5,3.509999990463257,2025-01-11,0.3299999926239252,False
1,42.5,3.5250000953674316,2025-01-11,0.3399999924004078,False
2,42.5,3.5399999618530273,2025-01-11,0.3399999924004078,False
3,42.5,3.555000066757202,2025-01-11,0.3399999924004078,False
4,42.5,3.569999933242798,2025-01-11,0.35999999195337296,False
5,42.5,3.5850000381469727,2025-01-11,0.35999999195337296,False
6,42.5,3.5999999046325684,2025-01-11,0.3799999915063381,False
7,42.5,3.615000009536743,2025-01-11,0.40999999083578587,False
8,42.5,3.630000114440918,2025-01-11,0.41999999061226845,False
9,42.5,3.6449999809265137,2025-01-11,0.3999999910593033,False
10,42.5,3.6600000858306885,2025-01-11,0.3299999926239252,False
11,42.5,3.674999952316284,2025-01-11,0.3299999926239252,False
12,42.5,3.690000057220459,2025-01-11,0.3399999924004078,False
13,42.5,3.7049999237060547,2025-01-11,0.2699999939650297,False
14,42.5,3.7200000286102295,2025-01-11,0.11999999731779099,False
15,42.5,3.734999895095825,2025-01-11,0.14999999664723873,False
16,42.5,3.75,2025-01-11,0.13999999687075615,False
17,42.5,3.765000104904175,2025-01-11,0.14999999664723873,False
18,42.5,3.7799999713897705,2025-01-11,0.13999999687075615,False
19,42.5,3.7950000762939453,2025-01-11,0.13999999687075615,False
20,42.5,3.809999942779541,2025-01-11,0.14999999664723873,False
21,42.5,3.825000047683716,2025-01-11,0.14999999664723873,False
22,42.5,3.8399999141693115,2025-01-11,0.1599999964237213,False
23,42.5,3.8550000190734863,2025-01-11,0.1699999962002039,False
24,42.5,3.869999885559082,2025-01-11,0.19999999552965164,False
25,42.5,3.884999990463257,2025-01-11,0.2199999950826168,False
26,42.5,3.9000000953674316,2025-01-11,0.23999999463558197,False
27,42.5,3.9149999618530273,2025-01-11,0.25999999418854713,False
28,42.5,3.930000066757202,2025-01-11,0.2799999937415123,False
29,42.5,3.944999933242798,2025-01-11,0.25999999418854713,False
30,42.5,3.9600000381469727,2025-01-11,0.25999999418854713,False
31,42.5,3.9749999046325684,2025-01-11,0.25999999418854713,False
32,42.5,3.990000009536743,2025-01-11,0.2699999939650297,False
33,42.5,4.005000114440918,2025-01-11,0.2799999937415123,False
34,42.5,4.019999980926514,2025-01-11,0.2799999937415123,False
35,42.5,4.034999847412109,2025-01-11,0.2799999937415123,False
