,lat,lon,date_for_plot,analysed_spim,plume
108,49.25,0.375,2025-01-11,,False
109,49.25,0.38999998569488525,2025-01-11,,False
110,49.25,0.4050000011920929,2025-01-11,,False
111,49.25,0.41999998688697815,2025-01-11,,False
112,49.25,0.4350000023841858,2025-01-11,,False
113,49.25,0.44999998807907104,2025-01-11,,False
114,49.25,0.4650000035762787,2025-01-11,,False
115,49.25,0.47999998927116394,2025-01-11,,False
116,49.25,0.4950000047683716,2025-01-11,,False
117,49.2599983215332,-1.2450000047683716,2025-01-11,,False
118,49.2599983215332,-1.2300000190734863,2025-01-11,,False
119,49.2599983215332,-1.215000033378601,2025-01-11,,False
120,49.2599983215332,-1.2000000476837158,2025-01-11,,False
121,49.2599983215332,-1.184999942779541,2025-01-11,,False
122,49.2599983215332,-1.1699999570846558,2025-01-11,,False
123,49.2599983215332,-1.1549999713897705,2025-01-11,,False
124,49.2599983215332,-1.1399999856948853,2025-01-11,,False
125,49.2599983215332,-1.125,2025-01-11,,False
126,49.2599983215332,-1.1100000143051147,2025-01-11,,False
127,49.2599983215332,-1.0950000286102295,2025-01-11,,False
128,49.2599983215332,-1.0800000429153442,2025-01-11,,False
129,49.2599983215332,-1.065000057220459,2025-01-11,,False
130,49.2599983215332,-1.0499999523162842,2025-01-11,,False
131,49.2599983215332,-1.034999966621399,2025-01-11,,False
132,49.2599983215332,-1.0199999809265137,2025-01-11,,False
133,49.2599983215332,-1.0049999952316284,2025-01-11,,False
134,49.2599983215332,-0.9900000095367432,2025-01-11,,False
135,49.2599983215332,-0.9750000238418579,2025-01-11,,False
136,49.2599983215332,-0.9599999785423279,2025-01-11,,False
137,49.2599983215332,-0.9449999928474426,2025-01-11,,False
138,49.2599983215332,-0.9300000071525574,2025-01-11,,False
139,49.2599983215332,-0.9150000214576721,2025-01-11,,False
140,49.2599983215332,-0.8999999761581421,2025-01-11,,False
141,49.2599983215332,-0.8849999904632568,2025-01-11,,False
142,49.2599983215332,-0.8700000047683716,2025-01-11,,False
143,49.2599983215332,-0.8550000190734863,2025-01-11,,False
144,49.2599983215332,-0.8399999737739563,2025-01-11,,False
145,49.2599983215332,-0.824999988079071,2025-01-11,,False
146,49.2599983215332,-0.8100000023841858,2025-01-11,,False
147,49.2599983215332,-0.7950000166893005,2025-01-11,,False
148,49.2599983215332,-0.7799999713897705,2025-01-11,,False
149,49.2599983215332,-0.7649999856948853,2025-01-11,,False
150,49.2599983215332,-0.75,2025-01-11,,False
151,49.2599983215332,-0.7350000143051147,2025-01-11,,False
152,49.2599983215332,-0.7200000286102295,2025-01-11,,False
153,49.2599983215332,-0.7049999833106995,2025-01-11,,False
154,49.2599983215332,-0.6899999976158142,2025-01-11,,False
155,49.2599983215332,-0.675000011920929,2025-01-11,,False
156,49.2599983215332,-0.6600000262260437,2025-01-11,,False
157,49.2599983215332,-0.6449999809265137,2025-01-11,,False
158,49.2599983215332,-0.6299999952316284,2025-01-11,,False
159,49.2599983215332,-0.6150000095367432,2025-01-11,,False
160,49.2599983215332,-0.6000000238418579,2025-01-11,,False
161,49.2599983215332,-0.5849999785423279,2025-01-11,,False
162,49.2599983215332,-0.5699999928474426,2025-01-11,,False
163,49.2599983215332,-0.5550000071525574,2025-01-11,,False
164,49.2599983215332,-0.5400000214576721,2025-01-11,,False
165,49.2599983215332,-0.5249999761581421,2025-01-11,,False
166,49.2599983215332,-0.5099999904632568,2025-01-11,,False
167,49.2599983215332,-0.4950000047683716,2025-01-11,,False
168,49.2599983215332,-0.47999998927116394,2025-01-11,,False
169,49.2599983215332,-0.4650000035762787,2025-01-11,,False
170,49.2599983215332,-0.44999998807907104,2025-01-11,,False
