,longitude,latitude
313,4.74,43.065002
314,4.74,43.045
315,4.725,43.025
316,4.725,43.004997
317,4.71,42.985
318,4.71,42.965
319,4.695,42.945
320,4.695,42.925
321,4.68,42.905
322,4.68,42.885002
323,4.665,42.864998
324,4.665,42.845
325,4.65,42.825
326,4.65,42.805
327,4.635,42.785
328,4.635,42.765
329,4.62,42.745003
330,4.62,42.725
331,4.605,42.705
332,4.605,42.684998
333,4.59,42.665
334,4.59,42.645
335,4.575,42.625
336,4.575,42.605
337,4.56,42.585
338,4.56,42.565002
339,4.545,42.545
340,4.545,42.525
341,4.53,42.504997
342,4.53,42.485
343,4.515,42.465
344,4.515,42.445
345,4.5,42.425
346,4.5,42.405
347,4.485,42.385002
348,4.485,42.364998
349,4.47,42.345
350,4.845,43.325
351,4.83,43.305
352,4.83,43.285
353,4.83,43.265
354,4.83,43.245003
355,4.815,43.225
356,4.815,43.205
357,4.815,43.184998
358,4.815,43.165
359,4.8,43.145
360,4.8,43.125
361,4.8,43.105
362,4.8,43.085
363,4.785,43.065002
364,4.785,43.045
365,4.785,43.025
366,4.785,43.004997
367,4.77,42.985
368,4.77,42.965
369,4.77,42.945
370,4.77,42.925
371,4.755,42.905
372,4.755,42.885002
373,4.755,42.864998
374,4.755,42.845
375,4.74,42.825
376,4.74,42.805
377,4.74,42.785
378,4.74,42.765
379,4.725,42.745003
380,4.725,42.725
381,4.725,42.705
382,4.725,42.684998
383,4.71,42.665
384,4.71,42.645
385,4.71,42.625
386,4.71,42.605
387,4.695,42.585
388,4.695,42.565002
389,4.695,42.545
390,4.695,42.525
391,4.68,42.504997
392,4.68,42.485
393,4.68,42.465
394,4.68,42.445
395,4.665,42.425
396,4.665,42.405
397,4.665,42.385002
398,4.665,42.364998
399,4.65,42.345
400,4.845,43.325
401,4.845,43.305
402,4.845,43.285
403,4.845,43.265
404,4.845,43.245003
405,4.845,43.225
406,4.845,43.205
407,4.845,43.184998
408,4.845,43.165
409,4.845,43.145
410,4.845,43.125
411,4.845,43.105
412,4.845,43.085
413,4.845,43.065002
414,4.845,43.045
415,4.845,43.025
416,4.845,43.004997
417,4.845,42.985
418,4.845,42.965
419,4.845,42.945
420,4.845,42.925
421,4.845,42.905
422,4.845,42.885002
423,4.845,42.864998
424,4.845,42.845
425,4.845,42.825
426,4.845,42.805
427,4.845,42.785
428,4.845,42.765
429,4.845,42.745003
430,4.845,42.725
431,4.845,42.705
432,4.845,42.684998
433,4.845,42.665
434,4.845,42.645
435,4.845,42.625
436,4.845,42.605
437,4.845,42.585
438,4.845,42.565002
439,4.845,42.545
440,4.845,42.525
441,4.845,42.504997
442,4.845,42.485
443,4.845,42.465
444,4.845,42.445
445,4.845,42.425
446,4.845,42.405
447,4.845,42.385002
448,4.845,42.364998
449,4.845,42.345
450,4.845,43.325
451,4.845,43.305
452,4.845,43.285
453,4.845,43.265
454,4.86,43.245003
455,4.86,43.225
456,4.86,43.205
457,4.86,43.184998
458,4.875,43.165
459,4.875,43.145
460,4.875,43.125
461,4.875,43.105
462,4.89,43.085
463,4.89,43.065002
464,4.89,43.045
465,4.89,43.025
466,4.905,43.004997
467,4.905,42.985
468,4.905,42.965
469,4.905,42.945
470,4.92,42.925
471,4.92,42.905
472,4.92,42.885002
473,4.92,42.864998
474,4.935,42.845
475,4.935,42.825
476,4.935,42.805
477,4.935,42.785
478,4.95,42.765
479,4.95,42.745003
480,4.95,42.725
481,4.95,42.705
482,4.965,42.684998
483,4.965,42.665
484,4.965,42.645
485,4.965,42.625
486,4.98,42.605
487,4.98,42.585
488,4.98,42.565002
489,4.98,42.545
490,4.995,42.525
491,4.995,42.504997
492,4.995,42.485
493,4.995,42.465
494,5.01,42.445
495,5.01,42.425
496,5.01,42.405
497,5.01,42.385002
498,5.025,42.364998
499,5.025,42.345
500,4.845,43.325
501,4.845,43.305
502,4.86,43.285
503,4.86,43.265
504,4.875,43.245003
505,4.875,43.225
506,4.89,43.205
507,4.89,43.184998
508,4.905,43.165
509,4.905,43.145
510,4.92,43.125
511,4.92,43.105
512,4.935,43.085
513,4.935,43.065002
514,4.95,43.045
515,4.95,43.025
516,4.965,43.004997
517,4.965,42.985
518,4.98,42.965
519,4.98,42.945
520,4.995,42.925
521,4.995,42.905
522,5.01,42.885002
523,5.01,42.864998
524,5.025,42.845
525,5.025,42.825
526,5.04,42.805
527,5.04,42.785
528,5.055,42.765
529,5.055,42.745003
530,5.07,42.725
531,5.07,42.705
532,5.085,42.684998
533,5.085,42.665
534,5.1,42.645
535,5.1,42.625
536,5.115,42.605
537,5.115,42.585
538,5.13,42.565002
539,5.13,42.545
540,5.145,42.525
541,5.145,42.504997
542,5.16,42.485
543,5.16,42.465
544,5.175,42.445
545,5.175,42.425
546,5.19,42.405
547,5.19,42.385002
548,5.205,42.364998
549,5.205,42.345
550,4.845,43.325
551,4.845,43.305
552,4.86,43.285
553,4.875,43.265
554,4.89,43.245003
555,4.89,43.225
556,4.905,43.205
557,4.92,43.184998
558,4.935,43.165
559,4.935,43.145
560,4.95,43.125
561,4.965,43.105
562,4.98,43.085
563,4.98,43.065002
564,4.995,43.045
565,5.01,43.025
566,5.025,43.004997
567,5.025,42.985
568,5.04,42.965
569,5.055,42.945
570,5.07,42.925
571,5.07,42.905
572,5.085,42.885002
573,5.1,42.864998
574,5.115,42.845
575,5.115,42.825
576,5.13,42.805
577,5.145,42.785
578,5.16,42.765
579,5.16,42.745003
580,5.175,42.725
581,5.19,42.705
582,5.205,42.684998
583,5.205,42.665
584,5.22,42.645
585,5.235,42.625
586,5.25,42.605
587,5.25,42.585
588,5.265,42.565002
589,5.28,42.545
590,5.295,42.525
591,5.295,42.504997
592,5.31,42.485
593,5.325,42.465
594,5.34,42.445
595,5.34,42.425
596,5.355,42.405
597,5.37,42.385002
598,5.385,42.364998
599,5.385,42.345
600,4.845,43.325
601,4.86,43.305
602,4.875,43.285
603,4.89,43.265
604,4.905,43.245003
605,4.92,43.225
606,4.935,43.205
607,4.95,43.184998
608,4.965,43.165
609,4.98,43.145
610,4.995,43.125
611,5.01,43.105
612,5.025,43.085
613,5.04,43.065002
614,5.055,43.045
615,5.07,43.025
616,5.085,43.004997
617,5.1,42.985
618,5.115,42.965
619,5.13,42.945
620,5.145,42.925
621,5.16,42.905
622,5.175,42.885002
623,5.19,42.864998
624,5.205,42.845
625,5.22,42.825
626,5.235,42.805
627,5.25,42.785
628,5.265,42.765
629,5.28,42.745003
630,5.295,42.725
631,5.31,42.705
632,5.325,42.684998
633,5.34,42.665
634,5.355,42.645
635,5.37,42.625
636,5.385,42.605
637,5.4,42.585
638,5.415,42.565002
639,5.43,42.545
640,5.445,42.525
641,5.46,42.504997
642,5.475,42.485
643,5.49,42.465
644,5.505,42.445
645,5.52,42.425
646,5.535,42.405
647,5.55,42.385002
648,5.565,42.364998
649,5.58,42.345
650,4.845,43.325
651,4.86,43.305
652,4.875,43.285
653,4.89,43.265
654,4.905,43.265
655,4.92,43.245003
656,4.935,43.225
657,4.95,43.205
658,4.965,43.205
659,4.98,43.184998
660,4.995,43.165
661,5.01,43.145
662,5.025,43.145
663,5.04,43.125
664,5.055,43.105
665,5.07,43.085
666,5.085,43.085
667,5.1,43.065002
668,5.115,43.045
669,5.13,43.025
670,5.145,43.025
671,5.16,43.004997
672,5.175,42.985
673,5.19,42.965
674,5.205,42.965
675,5.22,42.945
676,5.235,42.925
677,5.25,42.905
678,5.265,42.905
679,5.28,42.885002
680,5.295,42.864998
681,5.31,42.845
682,5.325,42.845
683,5.34,42.825
684,5.355,42.805
685,5.37,42.785
686,5.385,42.785
687,5.4,42.765
688,5.415,42.745003
689,5.43,42.725
690,5.445,42.725
691,5.46,42.705
692,5.475,42.684998
693,5.49,42.665
694,5.505,42.665
695,5.52,42.645
696,5.535,42.625
697,5.55,42.605
698,5.565,42.605
699,5.58,42.585
700,4.845,43.325
701,4.86,43.305
702,4.875,43.305
703,4.89,43.285
704,4.905,43.285
705,4.92,43.265
706,4.935,43.265
707,4.95,43.245003
708,4.965,43.245003
709,4.98,43.225
710,4.995,43.225
711,5.01,43.205
712,5.025,43.205
713,5.04,43.184998
714,5.055,43.184998
715,5.07,43.165
716,5.085,43.165
717,5.1,43.145
718,5.115,43.145
719,5.13,43.125
720,5.145,43.125
721,5.16,43.105
722,5.175,43.105
723,5.19,43.085
724,5.205,43.085
725,5.22,43.065002
726,5.235,43.065002
727,5.25,43.045
728,5.265,43.045
729,5.28,43.025
730,5.295,43.025
731,5.31,43.004997
732,5.325,43.004997
733,5.34,42.985
734,5.355,42.985
735,5.37,42.965
736,5.385,42.965
737,5.4,42.945
738,5.415,42.945
739,5.43,42.925
740,5.445,42.925
741,5.46,42.905
742,5.475,42.905
743,5.49,42.885002
744,5.505,42.885002
745,5.52,42.864998
746,5.535,42.864998
747,5.55,42.845
748,5.565,42.845
749,5.58,42.825
750,4.845,43.325
751,4.86,43.305
752,4.875,43.305
753,4.89,43.305
754,4.905,43.305
755,4.92,43.285
756,4.935,43.285
757,4.95,43.285
758,4.965,43.285
759,4.98,43.265
760,4.995,43.265
761,5.01,43.265
762,5.025,43.265
763,5.04,43.245003
764,5.055,43.245003
765,5.07,43.245003
766,5.085,43.245003
767,5.1,43.225
768,5.115,43.225
