,lat,lon,analysed_spim,plume
213,49.16,1.59,,False
214,49.16,1.605,,False
215,49.16,1.62,,False
216,49.16,1.635,,False
217,49.16,1.65,,False
218,49.16,1.665,,False
219,49.16,1.68,,False
220,49.16,1.695,,False
221,49.16,1.71,,False
222,49.16,1.725,,False
223,49.16,1.74,,False
224,49.16,1.755,,False
225,49.16,1.77,,False
226,49.16,1.785,,False
227,49.16,1.8,,False
228,49.16,1.815,,False
229,49.16,1.83,,False
230,49.16,1.845,,False
231,49.16,1.86,,False
232,49.16,1.875,,False
233,49.16,1.89,,False
234,49.16,1.905,,False
235,49.16,1.92,,False
236,49.16,1.935,,False
237,49.16,1.95,,False
238,49.16,1.965,,False
239,49.16,1.98,,False
240,49.16,1.995,,False
288,49.17,-1.5,,False
289,49.17,-1.485,,False
290,49.17,-1.47,,False
291,49.17,-1.455,,False
292,49.17,-1.44,,False
293,49.17,-1.425,,False
294,49.17,-1.41,,False
295,49.17,-1.395,,False
296,49.17,-1.38,,False
297,49.17,-1.365,,False
298,49.17,-1.35,,False
299,49.17,-1.335,,False
300,49.17,-1.32,,False
301,49.17,-1.305,,False
302,49.17,-1.29,,False
303,49.17,-1.275,,False
304,49.17,-1.26,,False
305,49.17,-1.245,,False
306,49.17,-1.23,,False
307,49.17,-1.215,,False
308,49.17,-1.2,,False
309,49.17,-1.185,,False
310,49.17,-1.17,,False
311,49.17,-1.155,,False
312,49.17,-1.14,,False
313,49.17,-1.125,,False
314,49.17,-1.11,,False
315,49.17,-1.095,,False
316,49.17,-1.08,,False
317,49.17,-1.065,,False
318,49.17,-1.05,,False
319,49.17,-1.035,,False
320,49.17,-1.02,,False
321,49.17,-1.005,,False
322,49.17,-0.99,,False
323,49.17,-0.975,,False
324,49.17,-0.96,,False
325,49.17,-0.945,,False
326,49.17,-0.93,,False
327,49.17,-0.915,,False
328,49.17,-0.9,,False
329,49.17,-0.885,,False
330,49.17,-0.87,,False
331,49.17,-0.855,,False
332,49.17,-0.84,,False
333,49.17,-0.825,,False
334,49.17,-0.81,,False
335,49.17,-0.795,,False
336,49.17,-0.78,,False
337,49.17,-0.765,,False
338,49.17,-0.75,,False
339,49.17,-0.735,,False
340,49.17,-0.72,,False
341,49.17,-0.705,,False
342,49.17,-0.69,,False
343,49.17,-0.675,,False
344,49.17,-0.66,,False
345,49.17,-0.645,,False
346,49.17,-0.63,,False
347,49.17,-0.615,,False
348,49.17,-0.6,,False
349,49.17,-0.585,,False
350,49.17,-0.57,,False
351,49.17,-0.555,,False
352,49.17,-0.54,,False
353,49.17,-0.525,,False
354,49.17,-0.51,,False
355,49.17,-0.495,,False
356,49.17,-0.48,,False
357,49.17,-0.465,,False
358,49.17,-0.45,,False
359,49.17,-0.435,,False
360,49.17,-0.42,,False
361,49.17,-0.405,,False
362,49.17,-0.39,,False
363,49.17,-0.375,,False
364,49.17,-0.36,,False
365,49.17,-0.345,,False
366,49.17,-0.33,,False
367,49.17,-0.315,,False
368,49.17,-0.3,,False
369,49.17,-0.285,,False
370,49.17,-0.27,,False
371,49.17,-0.255,,False
372,49.17,-0.24,,False
373,49.17,-0.225,,False
374,49.17,-0.21,,False
375,49.17,-0.195,,False
376,49.17,-0.18,,False
377,49.17,-0.165,,False
378,49.17,-0.15,,False
379,49.17,-0.135,,False
380,49.17,-0.12,,False
381,49.17,-0.105,,False
382,49.17,-0.09,,False
383,49.17,-0.075,,False
384,49.17,-0.06,,False
385,49.17,-0.045,,False
386,49.17,-0.03,,False
387,49.17,-0.015,,False
388,49.17,0.0,,False
389,49.17,0.015,,False
390,49.17,0.03,,False
391,49.17,0.045,,False
392,49.17,0.06,,False
393,49.17,0.075,,False
394,49.17,0.09,,False
395,49.17,0.105,,False
396,49.17,0.12,,False
397,49.17,0.135,,False
398,49.17,0.15,,False
399,49.17,0.165,,False
400,49.17,0.18,,False
401,49.17,0.195,,False
402,49.17,0.21,,False
403,49.17,0.225,,False
404,49.17,0.24,,False
405,49.17,0.255,,False
406,49.17,0.27,,False
407,49.17,0.285,,False
408,49.17,0.3,,False
409,49.17,0.315,,False
410,49.17,0.33,,False
411,49.17,0.345,,False
412,49.17,0.36,,False
413,49.17,0.375,,False
414,49.17,0.39,,False
415,49.17,0.405,,False
416,49.17,0.42,,False
417,49.17,0.435,,False
418,49.17,0.45,,False
419,49.17,0.465,,False
420,49.17,0.48,,False
421,49.17,0.495,,False
422,49.17,0.51,,False
423,49.17,0.525,,False
424,49.17,0.54,,False
425,49.17,0.555,,False
426,49.17,0.57,,False
427,49.17,0.585,,False
428,49.17,0.6,,False
429,49.17,0.615,,False
430,49.17,0.63,,False
431,49.17,0.645,,False
432,49.17,0.66,,False
433,49.17,0.675,,False
434,49.17,0.69,,False
435,49.17,0.705,,False
436,49.17,0.72,,False
437,49.17,0.735,,False
438,49.17,0.75,,False
439,49.17,0.765,,False
440,49.17,0.78,,False
441,49.17,0.795,,False
442,49.17,0.81,,False
443,49.17,0.825,,False
444,49.17,0.84,,False
445,49.17,0.855,,False
446,49.17,0.87,,False
447,49.17,0.885,,False
448,49.17,0.9,,False
449,49.17,0.915,,False
450,49.17,0.93,,False
451,49.17,0.945,,False
452,49.17,0.96,,False
453,49.17,0.975,,False
454,49.17,0.99,,False
455,49.17,1.005,,False
456,49.17,1.02,,False
457,49.17,1.035,,False
458,49.17,1.05,,False
459,49.17,1.065,,False
460,49.17,1.08,,False
461,49.17,1.095,,False
462,49.17,1.11,,False
463,49.17,1.125,,False
464,49.17,1.14,,False
465,49.17,1.155,,False
466,49.17,1.17,,False
467,49.17,1.185,,False
468,49.17,1.2,,False
469,49.17,1.215,,False
470,49.17,1.23,,False
471,49.17,1.245,,False
472,49.17,1.26,,False
473,49.17,1.275,,False
474,49.17,1.29,,False
475,49.17,1.305,,False
476,49.17,1.32,,False
477,49.17,1.335,,False
478,49.17,1.35,,False
479,49.17,1.365,,False
480,49.17,1.38,,False
481,49.17,1.395,,False
482,49.17,1.41,,False
483,49.17,1.425,,False
484,49.17,1.44,,False
485,49.17,1.455,,False
486,49.17,1.47,,False
487,49.17,1.485,,False
488,49.17,1.5,,False
489,49.17,1.515,,False
490,49.17,1.53,,False
491,49.17,1.545,,False
492,49.17,1.56,,False
493,49.17,1.575,,False
494,49.17,1.59,,False
495,49.17,1.605,,False
496,49.17,1.62,,False
497,49.17,1.635,,False
498,49.17,1.65,,False
499,49.17,1.665,,False
500,49.17,1.68,,False
501,49.17,1.695,,False
502,49.17,1.71,,False
503,49.17,1.725,,False
504,49.17,1.74,,False
505,49.17,1.755,,False
