,lat,lon,analysed_spim,plume
0,42.5,3.51,0.3299999926239252,False
1,42.5,3.525,0.3399999924004078,False
2,42.5,3.54,0.3399999924004078,False
3,42.5,3.555,0.3399999924004078,False
4,42.5,3.57,0.35999999195337296,False
5,42.5,3.585,0.35999999195337296,False
6,42.5,3.6,0.3799999915063381,False
7,42.5,3.615,0.40999999083578587,False
8,42.5,3.63,0.41999999061226845,False
9,42.5,3.645,0.3999999910593033,False
10,42.5,3.66,0.3299999926239252,False
11,42.5,3.675,0.3299999926239252,False
12,42.5,3.69,0.3399999924004078,False
13,42.5,3.705,0.2699999939650297,False
14,42.5,3.72,0.11999999731779099,False
15,42.5,3.735,0.14999999664723873,False
16,42.5,3.75,0.13999999687075615,False
17,42.5,3.765,0.14999999664723873,False
18,42.5,3.78,0.13999999687075615,False
19,42.5,3.795,0.13999999687075615,False
20,42.5,3.81,0.14999999664723873,False
21,42.5,3.825,0.14999999664723873,False
22,42.5,3.84,0.1599999964237213,False
23,42.5,3.855,0.1699999962002039,False
24,42.5,3.87,0.19999999552965164,False
25,42.5,3.885,0.2199999950826168,False
26,42.5,3.9,0.23999999463558197,False
27,42.5,3.915,0.25999999418854713,False
28,42.5,3.93,0.2799999937415123,False
29,42.5,3.945,0.25999999418854713,False
30,42.5,3.96,0.25999999418854713,False
31,42.5,3.975,0.25999999418854713,False
32,42.5,3.99,0.2699999939650297,False
33,42.5,4.005,0.2799999937415123,False
34,42.5,4.02,0.2799999937415123,False
35,42.5,4.035,0.2799999937415123,False
36,42.5,4.05,0.2799999937415123,False
37,42.5,4.065,0.2799999937415123,False
38,42.5,4.08,0.2799999937415123,False
39,42.5,4.095,0.2899999935179949,False
40,42.5,4.11,0.2799999937415123,False
41,42.5,4.125,0.2899999935179949,False
42,42.5,4.14,0.2899999935179949,False
43,42.5,4.155,0.2799999937415123,False
44,42.5,4.17,0.2799999937415123,False
45,42.5,4.185,0.2799999937415123,False
46,42.5,4.2,0.2899999935179949,False
47,42.5,4.215,0.2799999937415123,False
48,42.5,4.23,0.2799999937415123,False
49,42.5,4.245,0.2699999939650297,False
50,42.5,4.26,0.25999999418854713,False
51,42.5,4.275,0.25999999418854713,False
52,42.5,4.29,0.25999999418854713,False
53,42.5,4.305,0.2699999939650297,False
54,42.5,4.32,0.25999999418854713,False
55,42.5,4.335,0.2699999939650297,False
56,42.5,4.35,0.2699999939650297,False
57,42.5,4.365,0.2899999935179949,False
58,42.5,4.38,0.2799999937415123,False
59,42.5,4.395,0.2799999937415123,False
60,42.5,4.41,0.2799999937415123,False
61,42.5,4.425,0.25999999418854713,False
62,42.5,4.44,0.25999999418854713,False
63,42.5,4.455,0.24999999441206455,False
64,42.5,4.47,0.24999999441206455,False
65,42.5,4.485,0.24999999441206455,False
66,42.5,4.5,0.24999999441206455,False
67,42.5,4.515,0.24999999441206455,False
68,42.5,4.53,0.23999999463558197,False
69,42.5,4.545,0.23999999463558197,False
70,42.5,4.56,0.20999999530613422,False
71,42.5,4.575,0.2299999948590994,False
72,42.5,4.59,0.20999999530613422,False
73,42.5,4.605,0.2199999950826168,False
74,42.5,4.62,0.2199999950826168,False
75,42.5,4.635,0.2199999950826168,False
76,42.5,4.65,0.2299999948590994,False
77,42.5,4.665,0.19999999552965164,False
78,42.5,4.68,0.20999999530613422,False
79,42.5,4.695,0.19999999552965164,False
80,42.5,4.71,0.19999999552965164,False
