,lat,lon,day,week,month,year,date_for_plot,analysed_spim
63,42.25,3.944999933242798,2014-01-04,01_01,01,2014,2014-01-04,0.2199999950826168
64,42.25,3.9600000381469727,2014-01-04,01_01,01,2014,2014-01-04,0.2299999948590994
65,42.25,3.9749999046325684,2014-01-04,01_01,01,2014,2014-01-04,0.2299999948590994
66,42.25,3.990000009536743,2014-01-04,01_01,01,2014,2014-01-04,0.23999999463558197
67,42.25,4.005000114440918,2014-01-04,01_01,01,2014,2014-01-04,0.23999999463558197
68,42.25,4.019999980926514,2014-01-04,01_01,01,2014,2014-01-04,0.24999999441206455
69,42.25,4.034999847412109,2014-01-04,01_01,01,2014,2014-01-04,0.23999999463558197
70,42.25,4.050000190734863,2014-01-04,01_01,01,2014,2014-01-04,0.24999999441206455
71,42.25,4.065000057220459,2014-01-04,01_01,01,2014,2014-01-04,0.23999999463558197
72,42.25,4.079999923706055,2014-01-04,01_01,01,2014,2014-01-04,0.23999999463558197
73,42.25,4.09499979019165,2014-01-04,01_01,01,2014,2014-01-04,0.2299999948590994
74,42.25,4.110000133514404,2014-01-04,01_01,01,2014,2014-01-04,0.2299999948590994
75,42.25,4.125,2014-01-04,01_01,01,2014,2014-01-04,0.2199999950826168
76,42.25,4.139999866485596,2014-01-04,01_01,01,2014,2014-01-04,0.2199999950826168
77,42.25,4.15500020980835,2014-01-04,01_01,01,2014,2014-01-04,0.20999999530613422
78,42.25,4.170000076293945,2014-01-04,01_01,01,2014,2014-01-04,0.20999999530613422
79,42.25,4.184999942779541,2014-01-04,01_01,01,2014,2014-01-04,0.20999999530613422
80,42.25,4.199999809265137,2014-01-04,01_01,01,2014,2014-01-04,0.19999999552965164
81,42.25,4.215000152587891,2014-01-04,01_01,01,2014,2014-01-04,0.19999999552965164
82,42.25,4.230000019073486,2014-01-04,01_01,01,2014,2014-01-04,0.19999999552965164
83,42.25,4.244999885559082,2014-01-04,01_01,01,2014,2014-01-04,0.18999999575316906
84,42.25,4.260000228881836,2014-01-04,01_01,01,2014,2014-01-04,0.17999999597668648
85,42.25,4.275000095367432,2014-01-04,01_01,01,2014,2014-01-04,0.18999999575316906
86,42.25,4.289999961853027,2014-01-04,01_01,01,2014,2014-01-04,0.1699999962002039
87,42.25,4.304999828338623,2014-01-04,01_01,01,2014,2014-01-04,0.1699999962002039
88,42.25,4.320000171661377,2014-01-04,01_01,01,2014,2014-01-04,0.1599999964237213
89,42.25,4.335000038146973,2014-01-04,01_01,01,2014,2014-01-04,0.14999999664723873
90,42.25,4.349999904632568,2014-01-04,01_01,01,2014,2014-01-04,0.13999999687075615
91,42.25,4.364999771118164,2014-01-04,01_01,01,2014,2014-01-04,0.14999999664723873
92,42.25,4.380000114440918,2014-01-04,01_01,01,2014,2014-01-04,0.14999999664723873
93,42.25,4.394999980926514,2014-01-04,01_01,01,2014,2014-01-04,0.13999999687075615
94,42.25,4.409999847412109,2014-01-04,01_01,01,2014,2014-01-04,0.13999999687075615
95,42.25,4.425000190734863,2014-01-04,01_01,01,2014,2014-01-04,0.13999999687075615
96,42.25,4.440000057220459,2014-01-04,01_01,01,2014,2014-01-04,0.11999999731779099
97,42.25,4.454999923706055,2014-01-04,01_01,01,2014,2014-01-04,0.1599999964237213
98,42.25,4.46999979019165,2014-01-04,01_01,01,2014,2014-01-04,0.1699999962002039
99,42.25,4.485000133514404,2014-01-04,01_01,01,2014,2014-01-04,0.1599999964237213
100,42.25,4.5,2014-01-04,01_01,01,2014,2014-01-04,0.14999999664723873
101,42.25,4.514999866485596,2014-01-04,01_01,01,2014,2014-01-04,0.14999999664723873
