,SOURCE,SITE,LONGITUDE,LATITUDE,REGION,zone_pretty
261,REPHY,Deauville,0.0586658739,49.3619096055,BAY_OF_SEINE,Bay of Seine
262,REPHY,Grande Rade,-0.011339874,49.5212464351,BAY_OF_SEINE,Bay of Seine
264,REPHY,Luc 1 mille,-0.3291742868,49.3259041495,BAY_OF_SEINE,Bay of Seine
265,REPHY,Courseulles,-0.4618443566,49.3534033467,BAY_OF_SEINE,Bay of Seine
266,REPHY,Asnelles-Meuvaines,-0.5715131312,49.3504019897,BAY_OF_SEINE,Bay of Seine
267,REPHY,Pointe de la Percée,-0.9196666667,49.3906666667,BAY_OF_SEINE,Bay of Seine
268,REPHY,Port en Bessin 1 mille,-0.768517285,49.3588999194,BAY_OF_SEINE,Bay of Seine
269,REPHY,St Germain de Varreville,-1.2096952416,49.451730567,BAY_OF_SEINE,Bay of Seine
270,REPHY,Géfosse,-1.1073581894,49.3902301225,BAY_OF_SEINE,Bay of Seine
272,REPHY,Reville 1 mille,-1.2170332054,49.6129014828,BAY_OF_SEINE,Bay of Seine
283,REPHY,Skividen,-4.2413738667,47.7883184866,SOUTHERN_BRITTANY,S. Brittany
284,REPHY,Concarneau large,-3.949922,47.833406,SOUTHERN_BRITTANY,S. Brittany
285,REPHY,Trénogoat,-3.64445721415,47.7861947755,SOUTHERN_BRITTANY,S. Brittany
286,REPHY,Bailleron,-2.7471747009,47.5789976866,SOUTHERN_BRITTANY,S. Brittany
287,REPHY,Poudrantais,-2.5013340223,47.4681644969,SOUTHERN_BRITTANY,S. Brittany
288,REPHY,Pointe du But,-2.4001471204,46.7266477503,SOUTHERN_BRITTANY,S. Brittany
289,REPHY,Port Joinville,-2.3481462364,46.7293150772,SOUTHERN_BRITTANY,S. Brittany
290,REPHY,Anse du Piquet,-1.6496263509,46.4341493694,BAY_OF_BISCAY,Bay of Biscay
294,REPHY,Fécamp digue,0.3634993899,49.765667432,BAY_OF_SEINE,Bay of Seine
295,REPHY,Fécamp 1 mille,0.3425004242,49.7730007236,BAY_OF_SEINE,Bay of Seine
296,REPHY,Estuaire de l'Orne,-0.2280326686,49.2795007433,BAY_OF_SEINE,Bay of Seine
297,REPHY,Baie de Seine - Zone 5,-0.2500094081,49.4499084056,BAY_OF_SEINE,Bay of Seine
298,REPHY,Hors Baie de Seine - Zone 8,-0.1858460237,49.616663666,BAY_OF_SEINE,Bay of Seine
299,REPHY,Hors Baie de Seine - Zone 9,0.0516576158,49.659417586,BAY_OF_SEINE,Bay of Seine
300,REPHY,Seine 1,0.02713430475,49.47412302435,BAY_OF_SEINE,Bay of Seine
301,REPHY,Baie de Seine - Zone 4,-0.5083488408,49.4833229672,BAY_OF_SEINE,Bay of Seine
302,REPHY,Baie de Seine - Zone 3,-0.750020793,49.4999039252,BAY_OF_SEINE,Bay of Seine
303,REPHY,Utah,-1.1728336826,49.4216668616,BAY_OF_SEINE,Bay of Seine
306,REPHY,Gougins,-1.2430001592,49.4851677386,BAY_OF_SEINE,Bay of Seine
307,REPHY,Baie de Seine - Zone 1,-0.8583567465499999,49.5166531074,BAY_OF_SEINE,Bay of Seine
348,REPHY,Face moulin marée - 29PA16,-4.2119837554,47.8671007763,SOUTHERN_BRITTANY,S. Brittany
349,REPHY,Cale de Rosquemo - 29PA17,-4.1952131964,47.8573024024,SOUTHERN_BRITTANY,S. Brittany
350,REPHY,Pouldon SE Ile Chevalier - PA20,-4.1742759501,47.8495407952,SOUTHERN_BRITTANY,S. Brittany
351,REPHY,Aval port Corniguel - 29OD08,-4.0989160743,47.9681429602,SOUTHERN_BRITTANY,S. Brittany
352,REPHY,Phare du Coq - 29OD16,-4.1168855863,47.8746621012,SOUTHERN_BRITTANY,S. Brittany
353,REPHY,Face anse Kergourlet - 29AV04,-3.7476530702,47.8415656904,SOUTHERN_BRITTANY,S. Brittany
354,REPHY,Moulin mer - 29BE08,-3.6394307796,47.8288583301,SOUTHERN_BRITTANY,S. Brittany
355,REPHY,Estuaire amont Isle - 29BE26,-3.6996916205,47.8193457123,SOUTHERN_BRITTANY,S. Brittany
356,REPHY,Estuaire face porte neuve - 29BE28,-3.682618056,47.8223043216,SOUTHERN_BRITTANY,S. Brittany
357,REPHY,Pont St Maurice - 29LA03,-3.5229145148,47.7975306059,SOUTHERN_BRITTANY,S. Brittany
358,REPHY,Cost er Lann - 29LA05,-3.5293783528,47.8123558955,SOUTHERN_BRITTANY,S. Brittany
359,REPHY,Queblen - 29LA11,-3.5423164081,47.8564351655,SOUTHERN_BRITTANY,S. Brittany
360,REPHY,Amont port Kerdruc Rosbras - 29AV02,-3.7449174588,47.8201501942,SOUTHERN_BRITTANY,S. Brittany
361,REPHY,Lorient 16,-3.428251,47.666741,SOUTHERN_BRITTANY,S. Brittany
362,REPHY,Citadelle - 56B600,-3.3671627909,47.7119153379,SOUTHERN_BRITTANY,S. Brittany
363,REPHY,Aval Le Scav - 56B510,-3.3878872358,47.8042290379,SOUTHERN_BRITTANY,S. Brittany
364,REPHY,Saint Christophe - 56B530,-3.3633123302,47.7610332614,SOUTHERN_BRITTANY,S. Brittany
365,REPHY,Pont du Bonhomme - 56B480,-3.3041429866,47.7636190247,SOUTHERN_BRITTANY,S. Brittany
366,REPHY,Rade de Lorient - 56B560,-3.3520948008,47.7356927687,SOUTHERN_BRITTANY,S. Brittany
367,REPHY,Ban-Gavres,-3.35,47.701,SOUTHERN_BRITTANY,S. Brittany
368,REPHY,Etel - Pierres noires,-3.241081,47.588262,SOUTHERN_BRITTANY,S. Brittany
369,REPHY,Aval Pont Lorois - 56ET16,-3.1986870799,47.6741747297,SOUTHERN_BRITTANY,S. Brittany
370,REPHY,Taillefer,-3.133189,47.403454,SOUTHERN_BRITTANY,S. Brittany
371,REPHY,Le Moustoir,-2.955517,47.60175,SOUTHERN_BRITTANY,S. Brittany
372,REPHY,Aval Port Anna,-2.780367,47.620167,SOUTHERN_BRITTANY,S. Brittany
373,REPHY,Le Passage - Noyalo,-2.722733,47.588833,SOUTHERN_BRITTANY,S. Brittany
374,REPHY,Nord Dumet,-2.6565833428,47.4600674904,SOUTHERN_BRITTANY,S. Brittany
375,REPHY,Bonen du Four,-2.65462,47.308548,SOUTHERN_BRITTANY,S. Brittany
376,REPHY,Aval Le Diben - 56V500,-2.636617,47.508967,SOUTHERN_BRITTANY,S. Brittany
377,REPHY,Aval Tréhiguier - 56V100,-2.445048691,47.4961341719,SOUTHERN_BRITTANY,S. Brittany
378,REPHY,Le Petit Sécé - 56V120,-2.4918531482,47.5063672122,SOUTHERN_BRITTANY,S. Brittany
379,REPHY,Pointe St Gildas large,-2.26777,47.134749,SOUTHERN_BRITTANY,S. Brittany
380,REPHY,Saint-Nazaire - 44 L029 (149200),-2.1699917515,47.2898606396,SOUTHERN_BRITTANY,S. Brittany
381,REPHY,Cordemais - 44 L028 (148500),-1.899666365,47.2751483955,SOUTHERN_BRITTANY,S. Brittany
