,lat,lon,day,week,month,year,date_for_plot,analysed_spim
59,46.5,-3.615000009536743,2025-01-11,01_02,01,2025,2025-01-11,0.4899999890476465
60,46.5,-3.5999999046325684,2025-01-11,01_02,01,2025,2025-01-11,0.47999998927116394
61,46.5,-3.5850000381469727,2025-01-11,01_02,01,2025,2025-01-11,0.4499999899417162
62,46.5,-3.569999933242798,2025-01-11,01_02,01,2025,2025-01-11,0.4499999899417162
63,46.5,-3.555000066757202,2025-01-11,01_02,01,2025,2025-01-11,0.549999987706542
64,46.5,-3.5399999618530273,2025-01-11,01_02,01,2025,2025-01-11,0.5299999881535769
65,46.5,-3.5250000953674316,2025-01-11,01_02,01,2025,2025-01-11,0.4999999888241291
66,46.5,-3.509999990463257,2025-01-11,01_02,01,2025,2025-01-11,0.4899999890476465
67,46.5,-3.494999885559082,2025-01-11,01_02,01,2025,2025-01-11,0.5599999874830246
68,46.5,-3.4800000190734863,2025-01-11,01_02,01,2025,2025-01-11,0.4999999888241291
69,46.5,-3.4649999141693115,2025-01-11,01_02,01,2025,2025-01-11,0.549999987706542
70,46.5,-3.450000047683716,2025-01-11,01_02,01,2025,2025-01-11,0.5799999870359898
71,46.5,-3.434999942779541,2025-01-11,01_02,01,2025,2025-01-11,0.549999987706542
72,46.5,-3.4200000762939453,2025-01-11,01_02,01,2025,2025-01-11,0.5999999865889549
73,46.5,-3.4049999713897705,2025-01-11,01_02,01,2025,2025-01-11,0.6399999856948853
74,46.5,-3.390000104904175,2025-01-11,01_02,01,2025,2025-01-11,0.7199999839067459
75,46.5,-3.375,2025-01-11,01_02,01,2025,2025-01-11,0.6499999854713678
76,46.5,-3.359999895095825,2025-01-11,01_02,01,2025,2025-01-11,0.6099999863654375
77,46.5,-3.3450000286102295,2025-01-11,01_02,01,2025,2025-01-11,0.6299999859184027
78,46.5,-3.3299999237060547,2025-01-11,01_02,01,2025,2025-01-11,0.5299999881535769
79,46.5,-3.315000057220459,2025-01-11,01_02,01,2025,2025-01-11,0.4899999890476465
80,46.5,-3.299999952316284,2025-01-11,01_02,01,2025,2025-01-11,0.5799999870359898
81,46.5,-3.2850000858306885,2025-01-11,01_02,01,2025,2025-01-11,0.6199999861419201
82,46.5,-3.2699999809265137,2025-01-11,01_02,01,2025,2025-01-11,0.6499999854713678
83,46.5,-3.255000114440918,2025-01-11,01_02,01,2025,2025-01-11,0.6999999843537807
84,46.5,-3.240000009536743,2025-01-11,01_02,01,2025,2025-01-11,0.5599999874830246
85,46.5,-3.2249999046325684,2025-01-11,01_02,01,2025,2025-01-11,0.6099999863654375
86,46.5,-3.2100000381469727,2025-01-11,01_02,01,2025,2025-01-11,0.4899999890476465
87,46.5,-3.194999933242798,2025-01-11,01_02,01,2025,2025-01-11,0.6499999854713678
88,46.5,-3.180000066757202,2025-01-11,01_02,01,2025,2025-01-11,0.7099999841302633
89,46.5,-3.1649999618530273,2025-01-11,01_02,01,2025,2025-01-11,0.5299999881535769
90,46.5,-3.1500000953674316,2025-01-11,01_02,01,2025,2025-01-11,0.5099999886006117
91,46.5,-3.134999990463257,2025-01-11,01_02,01,2025,2025-01-11,0.5899999868124723
92,46.5,-3.119999885559082,2025-01-11,01_02,01,2025,2025-01-11,0.7699999827891588
93,46.5,-3.1050000190734863,2025-01-11,01_02,01,2025,2025-01-11,0.7699999827891588
94,46.5,-3.0899999141693115,2025-01-11,01_02,01,2025,2025-01-11,0.7499999832361937
95,46.5,-3.075000047683716,2025-01-11,01_02,01,2025,2025-01-11,0.9499999787658453
96,46.5,-3.059999942779541,2025-01-11,01_02,01,2025,2025-01-11,0.8799999803304672
97,46.5,-3.0450000762939453,2025-01-11,01_02,01,2025,2025-01-11,0.8099999818950891
98,46.5,-3.0299999713897705,2025-01-11,01_02,01,2025,2025-01-11,0.9899999778717756
99,46.5,-3.015000104904175,2025-01-11,01_02,01,2025,2025-01-11,1.339999970048666
100,46.5,-3.0,2025-01-11,01_02,01,2025,2025-01-11,1.389999968931079
101,46.5,-2.984999895095825,2025-01-11,01_02,01,2025,2025-01-11,1.579999964684248
102,46.5,-2.9700000286102295,2025-01-11,01_02,01,2025,2025-01-11,1.7599999606609344
103,46.5,-2.9549999237060547,2025-01-11,01_02,01,2025,2025-01-11,1.6399999633431435
104,46.5,-2.940000057220459,2025-01-11,01_02,01,2025,2025-01-11,1.769999960437417
105,46.5,-2.924999952316284,2025-01-11,01_02,01,2025,2025-01-11,1.5899999644607306
