zone,source,site,lon,lat,dist,cell_numbers
BAY_OF_BISCAY,REPHY,Auger,-1.215000033378601,45.810001373291016,1.36,2366193
BAY_OF_BISCAY,REPHY,Auger,-1.2000000476837158,45.810001373291016,1.21,2366194
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.125,46.0099983215332,1.25,2332859
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.1100000143051147,46.0099983215332,0.85,2332860
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.125,46.02000045776367,0.99,2331192
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.1100000143051147,46.02000045776367,0.36,2331193
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.125,46.029998779296875,1.7,2329525
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.1100000143051147,46.029998779296875,1.42,2329526
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.034999966621399,45.56999969482422,1.83,2406213
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0199999809265137,45.56999969482422,1.3,2406214
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0049999952316284,45.56999969482422,1.67,2406215
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.034999966621399,45.58000183105469,1.3,2404546
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0199999809265137,45.58000183105469,0.22,2404547
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0049999952316284,45.58000183105469,1.06,2404548
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.034999966621399,45.59000015258789,1.59,2402879
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0199999809265137,45.59000015258789,0.94,2402880
BAY_OF_BISCAY,REPHY,Bouée de St Georges,-1.0049999952316284,45.59000015258789,1.4,2402881
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1699999570846558,45.97999954223633,1.58,2337857
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1549999713897705,45.97999954223633,1.42,2337858
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1699999570846558,45.9900016784668,0.83,2336190
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1549999713897705,45.9900016784668,0.45,2336191
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1699999570846558,46,1.17,2334523
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1549999713897705,46,0.93,2334524
BAY_OF_BISCAY,REPHY,Boyard,-1.215000033378601,45.959999084472656,1.09,2341188
BAY_OF_BISCAY,REPHY,Boyard,-1.2000000476837158,45.959999084472656,1.16,2341189
BAY_OF_BISCAY,REPHY,Boyard,-1.215000033378601,45.970001220703125,0.53,2339521
BAY_OF_BISCAY,REPHY,Boyard,-1.2000000476837158,45.970001220703125,0.67,2339522
BAY_OF_BISCAY,REPHY,Boyard,-1.215000033378601,45.97999954223633,1.36,2337854
BAY_OF_BISCAY,REPHY,Boyard,-1.2000000476837158,45.97999954223633,1.42,2337855
BAY_OF_BISCAY,REPHY,Brouage,-1.1399999856948853,45.88999938964844,1.85,2352862
BAY_OF_BISCAY,REPHY,Brouage,-1.125,45.88999938964844,1.44,2352863
BAY_OF_BISCAY,REPHY,Brouage,-1.1100000143051147,45.88999938964844,1.86,2352864
BAY_OF_BISCAY,REPHY,Brouage,-1.1399999856948853,45.900001525878906,1.2,2351195
BAY_OF_BISCAY,REPHY,Brouage,-1.125,45.900001525878906,0.33,2351196
BAY_OF_BISCAY,REPHY,Brouage,-1.1100000143051147,45.900001525878906,1.22,2351197
BAY_OF_BISCAY,REPHY,Brouage,-1.1399999856948853,45.90999984741211,1.39,2349528
BAY_OF_BISCAY,REPHY,Brouage,-1.125,45.90999984741211,0.78,2349529
BAY_OF_BISCAY,REPHY,Brouage,-1.1100000143051147,45.90999984741211,1.41,2349530
BAY_OF_BISCAY,REPHY,Comprian (e),-1.1100000143051147,44.66999816894531,1.42,2556238
BAY_OF_BISCAY,REPHY,Comprian (e),-1.0950000286102295,44.66999816894531,1.19,2556239
BAY_OF_BISCAY,REPHY,Comprian (e),-1.1100000143051147,44.68000030517578,0.85,2554571
BAY_OF_BISCAY,REPHY,Comprian (e),-1.0950000286102295,44.68000030517578,0.34,2554572
BAY_OF_BISCAY,REPHY,Comprian (e),-1.1100000143051147,44.689998626708984,1.38,2552904
BAY_OF_BISCAY,REPHY,Comprian (e),-1.0950000286102295,44.689998626708984,1.14,2552905
BAY_OF_BISCAY,REPHY,Cotard,-1.125,45.77000045776367,1.21,2372867
BAY_OF_BISCAY,REPHY,Cotard,-1.1100000143051147,45.77000045776367,0.58,2372868
BAY_OF_BISCAY,REPHY,Cotard,-1.0950000286102295,45.77000045776367,1.39,2372869
BAY_OF_BISCAY,REPHY,Cotard,-1.125,45.779998779296875,1.2,2371200
BAY_OF_BISCAY,REPHY,Cotard,-1.1100000143051147,45.779998779296875,0.55,2371201
BAY_OF_BISCAY,REPHY,Cotard,-1.0950000286102295,45.779998779296875,1.37,2371202
BAY_OF_BISCAY,REPHY,Cotard,-1.125,45.790000915527344,1.97,2369533
BAY_OF_BISCAY,REPHY,Cotard,-1.1100000143051147,45.790000915527344,1.66,2369534
BAY_OF_BISCAY,REPHY,Cotard,-1.0950000286102295,45.790000915527344,2.08,2369535
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.2899999618530273,45.720001220703125,1.04,2381191
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.274999976158142,45.720001220703125,0.84,2381192
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.2899999618530273,45.72999954223633,0.84,2379524
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.274999976158142,45.72999954223633,0.57,2379525
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.2899999618530273,45.7400016784668,1.67,2377857
BAY_OF_BISCAY,REPHY,Côte Sauvage,-1.274999976158142,45.7400016784668,1.56,2377858
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5750000476837158,44.619998931884766,1.55,2564542
BAY_OF_BISCAY,REPHY,Ecocéan,-1.559999942779541,44.619998931884766,0.91,2564543
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5449999570846558,44.619998931884766,1.44,2564544
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5750000476837158,44.630001068115234,1.28,2562875
BAY_OF_BISCAY,REPHY,Ecocéan,-1.559999942779541,44.630001068115234,0.22,2562876
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5449999570846558,44.630001068115234,1.14,2562877
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5750000476837158,44.63999938964844,1.83,2561208
BAY_OF_BISCAY,REPHY,Ecocéan,-1.559999942779541,44.63999938964844,1.33,2561209
BAY_OF_BISCAY,REPHY,Ecocéan,-1.5449999570846558,44.63999938964844,1.73,2561210
BAY_OF_BISCAY,REPHY,Filière w,-1.3799999952316284,46.27000045776367,0.94,2289500
BAY_OF_BISCAY,REPHY,Filière w,-1.3650000095367432,46.27000045776367,1.29,2289501
BAY_OF_BISCAY,REPHY,Filière w,-1.3799999952316284,46.279998779296875,0.31,2287833
BAY_OF_BISCAY,REPHY,Filière w,-1.3650000095367432,46.279998779296875,0.94,2287834
BAY_OF_BISCAY,REPHY,Filière w,-1.3799999952316284,46.290000915527344,1.34,2286166
BAY_OF_BISCAY,REPHY,Filière w,-1.3650000095367432,46.290000915527344,1.61,2286167
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.4249999523162842,46.220001220703125,1.56,2297832
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.409999966621399,46.220001220703125,0.87,2297833
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.3949999809265137,46.220001220703125,1.31,2297834
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.4249999523162842,46.22999954223633,1.34,2296165
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.409999966621399,46.22999954223633,0.31,2296166
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.3949999809265137,46.22999954223633,1.03,2296167
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.4249999523162842,46.2400016784668,1.9,2294498
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.409999966621399,46.2400016784668,1.38,2294499
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.3949999809265137,46.2400016784668,1.7,2294500
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9599999785423279,45.5099983215332,0.92,2416220
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9449999928474426,45.5099983215332,0.79,2416221
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9599999785423279,45.52000045776367,0.84,2414553
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9449999928474426,45.52000045776367,0.69,2414554
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9599999785423279,45.529998779296875,1.74,2412886
BAY_OF_BISCAY,REPHY,Gironde - PK 86,-0.9449999928474426,45.529998779296875,1.68,2412887
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7350000143051147,45.2400016784668,0.93,2461244
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7200000286102295,45.2400016784668,0.79,2461245
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7350000143051147,45.25,0.84,2459577
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7200000286102295,45.25,0.69,2459578
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7350000143051147,45.2599983215332,1.74,2457910
BAY_OF_BISCAY,REPHY,Gironde - PK52 DCE,-0.7200000286102295,45.2599983215332,1.68,2457911
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1699999570846558,46.0099983215332,1.51,2332856
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1549999713897705,46.0099983215332,0.73,2332857
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1399999856948853,46.0099983215332,1.22,2332858
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1699999570846558,46.02000045776367,1.39,2331189
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1549999713897705,46.02000045776367,0.44,2331190
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1399999856948853,46.02000045776367,1.06,2331191
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1699999570846558,46.029998779296875,2.02,2329522
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1549999713897705,46.029998779296875,1.52,2329523
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1399999856948853,46.029998779296875,1.81,2329524
BAY_OF_BISCAY,REPHY,Jacquets,-1.2000000476837158,44.709999084472656,1.65,2549564
BAY_OF_BISCAY,REPHY,Jacquets,-1.184999942779541,44.709999084472656,1.04,2549565
BAY_OF_BISCAY,REPHY,Jacquets,-1.1699999570846558,44.709999084472656,1.5,2549566
BAY_OF_BISCAY,REPHY,Jacquets,-1.2000000476837158,44.720001220703125,1.29,2547897
BAY_OF_BISCAY,REPHY,Jacquets,-1.184999942779541,44.720001220703125,0.13,2547898
BAY_OF_BISCAY,REPHY,Jacquets,-1.1699999570846558,44.720001220703125,1.09,2547899
BAY_OF_BISCAY,REPHY,Jacquets,-1.2000000476837158,44.72999954223633,1.75,2546230
BAY_OF_BISCAY,REPHY,Jacquets,-1.184999942779541,44.72999954223633,1.2,2546231
BAY_OF_BISCAY,REPHY,Jacquets,-1.1699999570846558,44.72999954223633,1.61,2546232
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1699999570846558,44.650001525878906,1.7,2559568
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1549999713897705,44.650001525878906,1.77,2559569
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1699999570846558,44.65999984741211,0.71,2557901
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1549999713897705,44.65999984741211,0.86,2557902
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1699999570846558,44.66999816894531,0.78,2556234
BAY_OF_BISCAY,REPHY,Jetée d'Eyrac,-1.1549999713897705,44.66999816894531,0.92,2556235
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2450000047683716,46.2599983215332,1.11,2291176
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2300000190734863,46.2599983215332,1.29,2291177
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2450000047683716,46.27000045776367,0.39,2289509
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2300000190734863,46.27000045776367,0.77,2289510
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2450000047683716,46.279998779296875,1.25,2287842
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2300000190734863,46.279998779296875,1.41,2287843
BAY_OF_BISCAY,REPHY,La Carrelère,-1.215000033378601,46.220001220703125,1.6,2297846
BAY_OF_BISCAY,REPHY,La Carrelère,-1.2000000476837158,46.220001220703125,1.11,2297847
BAY_OF_BISCAY,REPHY,La Carrelère,-1.184999942779541,46.220001220703125,1.61,2297848
BAY_OF_BISCAY,REPHY,La Carrelère,-1.215000033378601,46.22999954223633,1.15,2296179
BAY_OF_BISCAY,REPHY,La Carrelère,-1.2000000476837158,46.22999954223633,0.01,2296180
BAY_OF_BISCAY,REPHY,La Carrelère,-1.184999942779541,46.22999954223633,1.16,2296181
BAY_OF_BISCAY,REPHY,La Carrelère,-1.215000033378601,46.2400016784668,1.6,2294512
BAY_OF_BISCAY,REPHY,La Carrelère,-1.2000000476837158,46.2400016784668,1.12,2294513
BAY_OF_BISCAY,REPHY,La Carrelère,-1.184999942779541,46.2400016784668,1.61,2294514
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3350000381469727,45.900001525878906,1.59,2351182
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3200000524520874,45.900001525878906,1.44,2351183
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3350000381469727,45.90999984741211,0.81,2349515
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3200000524520874,45.90999984741211,0.48,2349516
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3350000381469727,45.91999816894531,1.14,2347848
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3200000524520874,45.91999816894531,0.93,2347849
BAY_OF_BISCAY,REPHY,La Palmyre,-1.184999942779541,45.650001525878906,1.62,2392867
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1699999570846558,45.650001525878906,1.02,2392868
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1549999713897705,45.650001525878906,1.48,2392869
BAY_OF_BISCAY,REPHY,La Palmyre,-1.184999942779541,45.65999984741211,1.26,2391200
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1699999570846558,45.65999984741211,0.13,2391201
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1549999713897705,45.65999984741211,1.08,2391202
BAY_OF_BISCAY,REPHY,La Palmyre,-1.184999942779541,45.66999816894531,1.75,2389533
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1699999570846558,45.66999816894531,1.22,2389534
BAY_OF_BISCAY,REPHY,La Palmyre,-1.1549999713897705,45.66999816894531,1.62,2389535
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3200000524520874,46.290000915527344,1.54,2286170
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3049999475479126,46.290000915527344,1.7,2286171
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3200000524520874,46.29999923706055,0.53,2284503
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3049999475479126,46.29999923706055,0.89,2284504
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3200000524520874,46.310001373291016,0.81,2282836
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3049999475479126,46.310001373291016,1.08,2282837
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3350000381469727,44.619998931884766,1.76,2564558
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3200000524520874,44.619998931884766,1.37,2564559
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3049999475479126,44.619998931884766,1.86,2564560
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3350000381469727,44.630001068115234,1.14,2562891
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3200000524520874,44.630001068115234,0.26,2562892
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3049999475479126,44.630001068115234,1.29,2562893
BAY_OF_BISCAY,REPHY,Large Cap Ferret,-1.3350000381469727,44.63999938964844,1.41,2561224
