source,site,lon,lat,zone
REPHY,St Vaast la Hougue,-1.2860333721,49.5700661802,BAY_OF_SEINE
REPHY,Gatteville phare,-1.2620363993,49.6950698379,BAY_OF_SEINE
REPHY,Barfleur gisement,-1.2518698687,49.7070702829,BAY_OF_SEINE
REPHY,Moulard,-1.2382014527,49.6544023534,BAY_OF_SEINE
REPHY,Reville (a),-1.2113663241,49.6092347841,BAY_OF_SEINE
REPHY,Agon (a),-1.6290258097,49.0527150237,NA
REPHY,Breville (a),-1.5825,48.86183333,NA
REPHY,Mont St Michel,-1.764511,48.652704,NA
REPHY,Rance,-2.0345214345,48.6020318346,NA
REPHY,St Cast,-2.24367214,48.64318061,NA
REPHY,Jospinet,-2.6040308349,48.550690457,NA
REPHY,Bréhat,-3.01242965,48.82254709,NA
REPHY,Pont de Lézardrieux - 152E08,-3.1063801,48.7785039,NA
REPHY,Roche Jaune,-3.2033828266,48.8241903504,NA
REPHY,Le Diben,-3.8287246535,48.7126799578,NA
REPHY,Eaux profondes,-3.8935581274,48.6746782032,NA
REPHY,Ile Callot,-3.9345593828,48.6930115095,NA
REPHY,Bloscon,-3.9705608649,48.7228451702,NA
REPHY,Tromeal,-3.9743936145,48.6991778521,NA
REPHY,Pempoul,-3.9697264717,48.68501088,NA
REPHY,Goueles,-3.88805861,48.6958454772,NA
REPHY,Ile Blanche,-3.8690576927,48.6751785119,NA
REPHY,Pen al Lann,-3.8942835000000002,48.6649155,NA
REPHY,Port de Morlaix,-3.8382214883,48.5911767414,NA
REPHY,Le Dourduff,-3.8488894288,48.6305109485,NA
REPHY,Ker Armel,-3.8575567303,48.6478446195,NA
REPHY,Locquenolé,-3.8557225258,48.6173438637,NA
REPHY,Lannuguy,-3.8553889029,48.6070102711,NA
REPHY,Le Frout,-3.8860572106,48.6463442372,NA
REPHY,Roch Glas,-3.893890921,48.6548443595,NA
REPHY,Pors Doun,-3.9525586693,48.6551769927,NA
REPHY,Le Varquez,-3.9290584784,48.6638441645,NA
REPHY,Passe aux Moutons,-3.9312254831,48.6746777482,NA
REPHY,Penzornou,-3.9428919682,48.660343908,NA
REPHY,Goulven,-4.3013978285,48.6363389552,NA
REPHY,Le Vill,-4.6055682864,48.5750003691,NA
REPHY,Poulloc,-4.5890686353,48.5983344941,NA
REPHY,Aber Wrac'h (a),-4.5632348559,48.5990014921,NA
REPHY,Prat ar Coum,-4.5897343878,48.5648336379,NA
REPHY,Paluden,-4.5217338234,48.5886684019,NA
REPHY,Lanildut,-4.7599014685,48.4693291568,NA
REPHY,Aber Wrach - Paluden,-4.51723395695032,48.5867793200563,NA
REPHY,Ile de Sein,-4.8638917087,48.0431506003,NA
REPHY,Dinan Kerloc'h,-4.5567253442,48.2561596115,NA
REPHY,Basse Jaune,-4.726723741,48.0849866291,NA
REPHY,Le Passage (a),-4.3838927272,48.3963318846,NA
REPHY,Pen an Trein (a),-4.3208920977,48.4148331128,NA
REPHY,Le Passage (b),-4.384965,48.391067,NA
REPHY,Tinduff,-4.3657240763,48.3354972422,NA
REPHY,Landevennec (a),-4.269221227,48.2944973792,NA
REPHY,Le Prioldy,-4.2270537104,48.291164471,NA
REPHY,Camaret (a),-4.5853931117,48.2778264725,NA
